Rank,Spanish,French,English,,Notes
634,libre,libre,free,,
635,conoces,tu sais,you know,,
636,piensas,tu penses,you think,,
637,presidente,Président,President,,
638,especial,spécial,special,,
639,anoche,hier soir,last night,,
640,millones,des millions,millions,,
641,acerca,sur,about,,
642,derecho,loi,law,,
643,negro,noir,black,,
644,acá,ici,here,,
645,caballeros,messieurs,gentlemen,,
646,semanas,semaines,weeks,,
647,palabras,mots,words,,
648,buscar,rechercher,search for,,
649,segura,sûr,safe,,
650,correcto,Droite,Right,,
651,frente,de face,front,,
652,hacemos,nous faisons,we make,,
653,seas,vous êtes,you are,,
654,detrás,derrière,behind,,
655,puesto,Cabine de marché,Market Stall,,
656,asunto,affaire,affair,,
657,duro,difficile,hard,,
658,sucede,arrive,happens,,
659,llamar,appeler,to call,,
660,disculpe,Pardon,sorry,,
661,boca,bouche,mouth,,
662,atención,Attention,Attention,,
663,mire,Regardez,Look,,
664,armas,armes,weapons,,
665,encima,plus de,over,,
666,demonios,obtenu sacrément,got damn,,
667,mala,mal,bad,,
668,llevar,porter,wear,,
669,cual,lequel,which,,
670,odio,haine,hate,,
671,hospital,hôpital,hospital,,
672,deben,devrait,should,,
673,sueño,rêver,dream,,
674,quieras,tu veux,you want,,
675,resto,du repos,rest,,
676,llamo,J'appelle,I call,,
677,perder,perdre,to lose,,
678,llamado,appelé,called,,
679,perfecto,parfait,perfect,,
680,estaré,je serai,I will be,,
681,tranquilo,silencieux,quiet,,
682,york,york,york,,
683,seguridad,Sécurité,security,,
684,ayudar,Aidez-moi,help,,
685,tuvo,Il avait,He had,,
686,largo,longue,long,,
687,pena,douleur,pain,,
688,probablemente,Probablement,probably,,
689,ayer,Hier,Yesterday,,
690,dile,dit lui,tell him,,
691,prueba,tester,test,,
692,siendo,étant,being,,
693,bonito,belle,beautiful,,
694,recuerdas,rappelles toi,remember,,
695,haz,faire,make,,
696,real,réal,real,,
697,veras,tu verras,you will see,,
698,increíble,incroyable,incredible,,
699,quisiera,J'aimerais,I would like,,
700,tonto,idiot,silly,,
701,simplemente,simplement,simply,,
702,vámonos,allons-nous en,let's move on,,
703,haría,ferait,would do,,
704,preguntas,des questions,questions,,
705,aire,air,air,,
706,conoce,connu,known,,
707,fuerza,force,strength,,
708,carta,lettre,letter,,
709,trato,traitement,treatment,,
710,plan,plan,plan,,
711,ése,cette,that,,
712,verlo,le voir,see him,,
713,hambre,faim,hungry,,
714,vuelto,tourné,turned,,
715,empezar,début,start,,
716,campo,campagne,countryside,,
717,acaba,juste,just,,
718,hablas,parler,speak,,
719,vive,vies,lives,,
720,barco,navire,ship,,
721,hotel,un hôtel,hotel,,
722,poner,mettre,put,,
723,grupo,groupe,group,,
724,creí,j'ai pensé,I thought,,
725,sol,Soleil,Sun,,
726,tuyo,la vôtre,of yours,,
727,pase,passer,pass,,
728,joe,Joe,joe,,
729,voz,voix,voice,,
730,baño,salle de bains,bathroom,,
731,usar,utilisation,use,,
732,conseguir,obtenir,get,,
733,placer,plaisir,pleasure,,
734,llegado,arrivée,arrived,,
735,decirte,te dire,tell you,,
736,profesor,Prof,Teacher,,
737,noticias,nouvelles,news,,
738,lamento,complainte,lament,,
739,decirle,dire,tell,,
740,blanco,blanc,White,,
741,quédate,rester,stay,,
742,estuve,j'étais,I was,,
743,pie,pied,foot,,
744,anda,etun,anda,,
745,espere,j'ai attendu,I waited,,
746,edad,âge,age,,
747,secreto,secret,secret,,
748,podríamos,nous pourrions,we could,,
749,compañía,entreprise,company,,
750,tren,train,train,,
751,recuerda,rappelles toi,remember,,
752,tras,après,after,,
753,siéntate,Asseyez-vous,Sit down,,
754,prisa,se dépêcher,hurry,,
755,vista,vue,view,,
756,hermosa,belle,beautiful,,
757,negocio,traiter,deal,,
758,deberíamos,nous devrions,we should,,
759,gustan,comme,like,,
760,pagar,Payer,pay,,
761,george,George,george,,
762,futuro,futur,future,,
763,silencio,silence,silence,,
764,siente,se sent,feels,,
765,médico,médecin,doctor,,
766,maestro,prof,teacher,,
767,quiera,vouloir,want,,
768,llegó,j'arrive,I arrive,,
769,loca,fou,crazy,,
770,cambiar,changement,change,,
771,frank,franc,frank,,
772,sal,Sel,Salt,,
773,control,contrôle,control,,
774,raro,rare,rare,,
775,viste,robes,dresses,,
776,novia,petite amie,girlfriend,,
777,diferente,différent,different,,
778,imposible,impossible,impossible,,
779,i,je,i,,
780,amiga,ami,friend,,
781,enseguida,tout de suite,right away,,
782,llamada,appel,call,,
783,dan,donner,give,,
784,dejó,la gauche,left,,
785,mes,mois,month,,
786,llevo,je porte,I wear,,
787,avión,avion,airplane,,
788,pelo,cheveux,hair,,
789,the,le,the,,
790,error,Erreur,error,,
791,haremos,volonté,will,,
792,tendrá,aura,will have,,
793,propia,posséder,own,,
794,siguiente,Suivant,following,,
795,ganar,gagner,win,,
796,ley,loi,law,,
797,dolor,douleur,pain,,
798,oro,or,gold,,
799,ten,Dix,ten,,
800,acabó,fini,finished,,
801,maldición,Zut,damn,,
802,oficial,officiel,official,,
803,situación,situation,situation,,
804,daño,blesser,hurt,,
805,sientes,tu sens,you feel,,
806,entendido,c'est compris,it is understood,,
807,deseo,souhait,wish,,
808,mente,esprit,mind,,
809,ejército,armée,army,,
810,comprar,acheter,to buy,,
811,muertos,morte,dead,,
812,pensaba,pensée,thought,,
813,darle,donne lui,give him,,
814,estúpido,stupide,stupid,,
815,decía,Il a dit,He said,,
816,acabo,fini,finished,,
817,david,David,David,,
818,suena,il semble,it sounds,,
819,mitad,moitié,half,,
820,caballo,cheval,horse,,
821,asesino,assassin,assassin,,
822,vio,il a vu,he saw,,
823,permiso,autorisation,permission,,
824,ellas,ils,they,,
825,trabajando,travail,working,,
826,maravilloso,merveilleux,wonderful,,
827,mesa,table,table,,
828,divertido,drôle,funny,,
829,mejores,Haut,top,,
830,próxima,suivant,next,,
831,entra,entre dans,enters,,
832,tom,à M,tom,,
833,mar,mer,sea,,
834,siete,Sept,seven,,
835,hacía,vers,toward,,
836,sexo,sexe,sex,,
837,encanta,amour,love,,
838,amable,agréable,nice,,
839,mensaje,message,message,,
840,información,information,information,,
841,traje,costume,suit,,
842,alma,âme,soul,,
843,encontrado,a trouvé,found,,
844,coronel,colonel,colonel,,
845,dale,Aller de l'avant,Go ahead,,
846,san,Saint,saint,,
847,cena,Dîner,Dinner,,
848,encontré,j'ai trouvé,I found,,
849,charlie,charlie,charlie,,
850,tendrás,vous aurez,will you have,,
851,eras,âge,ages,,
852,propio,posséder,own,,
853,culo,cul,ass,,
854,asi,A) Oui,A) Yes,,
855,adentro,dans,in,,
856,canción,chanson,song,,
857,gobierno,gouvernement,government,,
858,sam,sam,sam,,
859,temo,Je crains,I fear,,
860,abre,ouvre,opens,,
861,dijeron,ils ont dit,they said,,
862,fuiste,vous étiez,you were,,
863,media,moitié,half,,
864,das,Nous voulons,you give,,
865,estábamos,nous étions,we were,,
866,estaría,il serait,It would,,
867,daré,je donnerai,I will give,,
868,vosotros,vous,you,,
869,frío,du froid,cold,,
870,foto,Photo,Photo,,
871,accidente,accident,accident,,
872,derecha,droite,right,,
873,funciona,travaux,works,,
874,vayas,aller,go,,
875,centro,centre,center,,
876,necesario,nécessaire,necessary,,
877,miren,Regardez,look,,
878,bonita,jolie,pretty,,
879,ante,avant,before,,
880,terrible,terrible,terrible,,
881,pude,je pouvais,I could,,
882,teniente,lieutenant,lieutenant,,
883,luna,Lune,Moon,,
884,izquierda,la gauche,left,,
885,uds,Vous,You,,
886,doy,je donne,I give,,
887,servicio,un service,service,,
888,llamas,appels,calls,,
889,normal,Ordinaire,normal,,
890,junto,ensemble,together,,
891,tienda,le magasin,store,,
892,navidad,Noël,Christmas,,
893,dirección,adresse,address,,
894,abuela,grand-mère,Grandma,,
895,alrededor,autour,around,,
896,vine,venu,came,,
897,tendré,j'aurai,I will have,,
898,libertad,liberté,freedom,,
899,sale,sort,comes out,,
900,línea,ligne,line,,
901,abogado,avocat,attorney,,
902,pies,pieds,feet,,
903,honor,honneur,honor,,
904,tratando,en essayant,trying,,
905,regresar,revenir,to return,,
906,hablo,je parle,I speak,,
907,vieja,vieille femme,old woman,,
908,papel,papier,paper,,
909,terminado,fini,finished,,
910,dejado,la gauche,left,,
911,juro,je le jure,I swear,,
912,hermoso,belle,beautiful,,
913,dulce,sucré,sweet,,
914,sentir,ressentir,feel,,
915,principio,début,beginning,,
916,interesante,intéressant,interesting,,
917,caja,boîte,box,,
918,cualquiera,n'importe qui,anyone,,
919,ocho,huit,eight,,
920,horrible,horrible,horrible,,
921,respuesta,réponse,answer,,
922,perra,chienne,female dog,,
923,gracioso,drôle,funny,,
924,s,s,s,,
925,trae,apporte,brings,,
926,personal,personnel,personal,,
927,mató,il a tué,he killed,,
928,completamente,complètement,completely,,
929,paul,Paul,paul,,
930,vienen,Ils viennent,they come,,
931,sean,sont,are,,
932,llega,arrive,arrives,,
933,abuelo,grand-père,grandfather,,
934,tengas,tu as,you have,,
935,linda,mignonne,cute,,
936,tendremos,nous aurons,we will have,,
937,michael,Michael,Michael,,
938,partes,les pièces,parts,,
939,cárcel,prison,jail,,
940,hubo,il y avait,there was,,
941,sistema,système,system,,
942,lindo,mignonne,cute,,
943,director,réalisateur,director,,
944,hazlo,fais le,do it,,
945,hicieron,fabriqué,made,,
946,tía,tante,aunt,,
947,busca,chercher,search,,
948,don,Don,Don,,
949,baja,faible,low,,
950,pudo,pourrait,could,,
951,salud,Santé,Health,,
